HBase Shell; enter 'help<RETURN>' for list of supported commands.
Type "exit<RETURN>" to leave the HBase Shell
Version 1.2.6, rUnknown, Mon May 29 02:25:32 CDT 2017

count 'usertable', INTERVAL=>1000000
Current count: 1000000, row: comet-19-21.ibnet10:ang_30_vibration:1549721617834
Current count: 2000000, row: comet-19-21.ibnet10:ang_90_Flow:1537114077834
Current count: 3000000, row: comet-19-21.ibnet10:cent_9_Flow:1558095257834
Current count: 4000000, row: comet-19-21.ibnet10:cor_4_Flow:1545527342438
Current count: 5000000, row: comet-19-21.ibnet10:mid_1125_Humidity:1533488687834
Current count: 6000000, row: comet-19-21.ibnet10:side_8_Flow:1553227917834
Current count: 7000000, row: comet-19-21.ibnet11:ang_30_Flow:1540093407854
Current count: 8000000, row: comet-19-21.ibnet11:ang_45_vibration:1559893252477
Current count: 9000000, row: comet-19-21.ibnet11:bef_1195_Flow:1547288417854
Current count: 10000000, row: comet-19-21.ibnet11:cor_1_Flow:1534731332477
Current count: 11000000, row: comet-19-21.ibnet11:cor_5_Flow:1554656652477
Current count: 12000000, row: comet-19-21.ibnet11:side_7_Humidity:1543313817854
Current count: 13000000, row: comet-19-21.ibnet12:aft_1120_Flow:1530942882502
Current count: 14000000, row: comet-19-21.ibnet12:ang_30_vibration:1551811037924
Current count: 15000000, row: comet-19-21.ibnet12:ang_90_Flow:1538770312502
Current count: 16000000, row: comet-19-21.ibnet12:cent_9_Flow:1559735662502
Current count: 17000000, row: comet-19-21.ibnet12:cor_4_Flow:1546069062502
Current count: 18000000, row: comet-19-21.ibnet12:mid_1125_Humidity:1533134012502
Current count: 19000000, row: comet-19-21.ibnet12:side_8_Flow:1553225322502
Current count: 20000000, row: comet-19-21.ibnet13:ang_30_Flow:1541216942472
Current count: 21000000, row: comet-19-21.ibnet13:ang_45_vibration:1561567747951
Current count: 22000000, row: comet-19-21.ibnet13:bef_1195_Flow:1548914397951
Current count: 23000000, row: comet-19-21.ibnet13:cor_1_Flow:1536324442472
Current count: 24000000, row: comet-19-21.ibnet13:cor_5_Flow:1555451882472
Current count: 25000000, row: comet-19-21.ibnet13:side_7_Humidity:1543053757951
Current count: 26000000, row: comet-19-21.ibnet14:aft_1120_Flow:1531677982638
Current count: 27000000, row: comet-19-21.ibnet14:ang_30_vibration:1551900518008
Current count: 28000000, row: comet-19-21.ibnet14:ang_90_Flow:1538419818008
Current count: 29000000, row: comet-19-21.ibnet14:cent_9_Flow:1556446778008
Current count: 30000000, row: comet-19-21.ibnet14:cor_4_Flow:1545154812638
Current count: 31000000, row: comet-19-21.ibnet14:mid_1125_Humidity:1532934208008
Current count: 32000000, row: comet-19-21.ibnet14:side_8_Flow:1554394692638
Current count: 33000000, row: comet-19-21.ibnet15:ang_30_Flow:1541882932637
Current count: 34000000, row: comet-19-21.ibnet15:ang_45_vibration:1561526802637
Current count: 35000000, row: comet-19-21.ibnet15:bef_1195_Flow:1548992932637
Current count: 36000000, row: comet-19-21.ibnet15:cor_1_Flow:1537794282637
Current count: 37000000, row: comet-19-21.ibnet15:cor_5_Flow:1558271867943
Current count: 38000000, row: comet-19-21.ibnet15:side_7_Humidity:1546190922637
Current count: 39000000, row: comet-19-21.ibnet16:aft_1120_Flow:1532348068018
Current count: 40000000, row: comet-19-21.ibnet16:ang_30_vibration:1553121208018
Current count: 41000000, row: comet-19-21.ibnet16:ang_90_Flow:1540117472640
Current count: 42000000, row: comet-19-21.ibnet16:cent_9_Flow:1559230142640
Current count: 43000000, row: comet-19-21.ibnet16:cor_4_Flow:1547202908018
Current count: 44000000, row: comet-19-21.ibnet16:mid_1125_Humidity:1534857452640
Current count: 45000000, row: comet-19-21.ibnet16:side_8_Flow:1555182292640
